,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL,Ganpati,BLR,Saswad,ACPL
37) JNPT - VASAI - JNPT,17000,NA,20000,13500,17500,NA,22000,16600,19500,NA,26000,20500,NA,NA,28000,23500,19000,NA,28000,20000,NA,NA,32500,24800,NA,NA,34500,27600,100000,NA,NA,34600
38) JNPT - PANVEL CITY/ NAVI MUMBAI - JNPT,12000,9900,15000,8000,14000,10800,17000,11000,16000,12600,19000,13000,NA,12600,22000,14500,15000,14400,16000,12000,NA,13500,18000,13500,NA,14400,24000,15000,100000,NA,NA,17000
39) JNPT - VADODARA - JNPT,37000,30600,40000,33000,39500,30600,45000,38800,43000,33300,48000,43600,NA,36000,54000,47900,41000,40500,48000,46900,NA,40500,52000,51600,NA,45000,58000,58700,100000,NA,NA,64000
40) JNPT - AHMEDABAD - JNPT,45000,33300,48000,40000,46000,36000,53000,48500,48500,40500,56000,54900,NA,40500,62000,62500,47000,45900,56000,58800,NA,45900,60000,63200,NA,50400,64000,67500,100000,NA,NA,75500
41) JNPT - PITHAMPUR - JNPT,66000,40500,NA,43000,68000,54000,NA,56000,70000,60300,NA,62000,NA,70200,NA,67000,70000,60300,NA,61000,NA,66600,NA,64000,NA,NA,NA,67700,100000,NA,NA,74000
42) JNPT - MANDIDEEP - JNPT,85000,50440,NA,57000,92000,66600,NA,64400,97000,70200,NA,67000,NA,81000,NA,71000,100000,72900,NA,71000,NA,80100,NA,78500,NA,NA,NA,83000,100000,NA,NA,88700
43) JNPT - DANNAD- JNPT,NA,45000,NA,NA,NA,60300,NA,NA,NA,63900,NA,NA,NA,70200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,NA,NA,NA
44) JNPT - DEWAS- JNPT,55000,45000,NA,44000,58000,60300,NA,58000,60000,63900,NA,64400,NA,70200,NA,69300,60000,72000,NA,64000,NA,80100,NA,67000,NA,NA,NA,70000,100000,NA,NA,77600
45) JNPT - BHOPAL- JNPT,80000,50400,NA,57000,84000,70200,NA,64400,88000,72900,NA,67000,NA,80100,NA,71000,87000,80100,NA,71000,NA,80100,NA,78500,NA,NA,NA,83000,100000,NA,NA,88700
46) JNPT - VODODARA- JNPT,37000,27000,40000,33000,39500,30600,45000,38800,42000,33300,48000,43600,NA,36000,54000,47900,41000,NA,48000,46900,NA,NA,52000,51600,NA,NA,58000,58700,100000,NA,NA,64000
47) JNPT - PITHAMPUR- JNPT,54000,40500,NA,43000,56000,56700,NA,56000,59000,60300,NA,62000,NA,72000,NA,67000,60000,60300,NA,61000,NA,66600,NA,64000,NA,NA,NA,67700,100000,NA,NA,74000
48) JNPT - ANKLESHWAR- JNPT,30500,24300,40000,33000,31140,30600,45000,397000,35960,33300,48000,41500,NA,36000,54000,44700,35500,40500,48000,42500,NA,40500,52000,44600,NA,45000,58000,47500,100000,NA,NA,52700
49) JNPT - Andheri - JNPT,15000,NA,NA,11500,15500,NA,NA,14400,16500,NA,NA,17000,NA,NA,NA,20400,16000,NA,NA,24000,NA,NA,NA,27000,NA,NA,NA,30500,100000,NA,NA,33400
