,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
DAPODI,NA,7650,NA,5000,NA,8100,NA,5500,NA,3500,NA,9900,NA,6500,NA,4250,NA,10800,NA,7500,NA,11700,NA,8500,NA,6250,NA,13500,NA,9500,NA,6750,NA,NA,NA,10500,NA,NA,NA,11500,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,22000,NA,NA,NA,11500,NA,8500,NA,18900,NA,NA,NA,20700,NA,25000,NA,18000,NA,20000
TALOJA,NA,5400,NA,6000,NA,6300,NA,6500,2500,2500,NA,7650,NA,7500,3000,3000,NA,8100,NA,8500,NA,8650,NA,9500,4500,4750,NA,9000,NA,10500,6000,6000,NA,NA,NA,11500,NA,NA,NA,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,14000,7500,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA
KALAMBOLI (IN  KLE),NA,5400,NA,5500,NA,6300,NA,6000,2500,2500,NA,7650,NA,6500,3000,3000,NA,8100,NA,7500,NA,8650,NA,8500,4500,4750,NA,9000,NA,9500,6000,6000,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,11000,6500,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
AMBERNATH,NA,4500,NA,NA,NA,5400,NA,NA,4500,4750,NA,6300,NA,NA,5000,5500,NA,7200,NA,NA,NA,7650,NA,NA,5500,6325,NA,8100,NA,NA,7000,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,11000,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA,NA
MAHAD,NA,9000,NA,5500,NA,9900,NA,6500,NA,6500,NA,10800,NA,8500,6500,7500,NA,11700,NA,9500,NA,12600,NA,10500,9000,10500,NA,13500,NA,11500,13500,14000,NA,NA,NA,12500,NA,NA,NA,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,18000,16000,16500,NA,NA,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
VASAI,NA,7200,NA,NA,NA,8100,NA,NA,5000,5000,NA,8650,NA,NA,5750,5750,NA,9000,NA,NA,NA,9900,NA,NA,6500,7000,NA,10800,NA,NA,7500,7750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,10500,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA,NA
OZAR,NA,9000,NA,6000,NA,9900,NA,6500,NA,4500,NA,10800,NA,7500,5000,5500,NA,11700,NA,8500,NA,12600,NA,9500,8500,9250,NA,13500,NA,10500,9250,9750,NA,NA,NA,12000,NA,NA,NA,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,17000,13750,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
SATPUR,NA,9900,NA,5000,NA,10800,NA,5500,NA,4250,NA,11700,NA,6500,4750,4750,NA,12600,NA,7500,NA,13500,NA,8500,8200,9000,NA,14400,NA,9500,8900,9500,NA,NA,NA,11000,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,16000,13500,13750,NA,NA,NA,NA,NA,NA,NA,NA,NA,22500,NA,NA
AMBAD,NA,9900,NA,5000,NA,10800,NA,5500,NA,4250,NA,11700,NA,6500,4750,4750,NA,12600,NA,7500,NA,13500,NA,8500,8200,9000,NA,14400,NA,9500,8900,9500,NA,NA,NA,11000,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,16000,13500,13750,NA,NA,NA,NA,NA,NA,NA,NA,NA,22500,NA,NA
GONDE,NA,9900,NA,5000,NA,10800,NA,5500,NA,4250,NA,11700,NA,6500,4750,5000,NA,12600,NA,7500,NA,13500,NA,8500,8200,9000,NA,14400,NA,9500,8900,9750,NA,NA,NA,11000,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,16000,13500,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,22500,NA,NA
RANJANGAON,NA,9900,NA,9000,NA,10800,NA,9500,NA,4000,NA,11700,NA,10000,4950,4950,NA,12600,NA,10500,NA,13500,NA,11000,6900,7500,NA,15300,NA,12000,7750,8250,NA,NA,NA,13000,NA,NA,NA,16000,18000,18000,NA,NA,NA,24300,NA,NA,NA,,NA,NA,NA,NA,NA,16000,9000,10350,NA,20700,NA,NA,NA,25200,NA,NA,NA,20700,NA,NA
SANASWADI,NA,9900,NA,6000,NA,10800,NA,6500,NA,4000,NA,11700,NA,7000,4950,4950,NA,12600,NA,7500,NA,13500,NA,8000,6900,7500,NA,15300,NA,8500,7750,8250,NA,NA,NA,9000,NA,NA,NA,13000,18000,18000,NA,NA,NA,24300,NA,NA,NA,,NA,NA,NA,NA,NA,13000,9000,10350,NA,20700,NA,NA,NA,25200,NA,NA,NA,20700,NA,NA
TARAPUR,NA,7200,NA,NA,NA,8100,NA,NA,NA,5500,NA,8650,NA,NA,NA,6000,NA,9000,NA,NA,NA,9900,NA,NA,NA,7750,NA,10800,NA,NA,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,NA,NA
KARAD,NA,23400,NA,NA,NA,24300,NA,NA,NA,7000,NA,25200,NA,12500,6000,7500,NA,26100,NA,13500,NA,27000,NA,14500,8100,9250,NA,27900,NA,15500,9250,11000,NA,NA,NA,17000,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,25000,13500,17250,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,NA,NA
SHIRWAL,NA,9900,NA,NA,NA,10800,NA,NA,NA,6000,NA,11700,NA,8000,5350,6500,NA,12600,NA,9000,NA,13500,NA,10000,7500,7750,NA,15300,NA,11000,8900,9000,NA,NA,NA,13000,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,20000,13000,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
BOISAR,NA,7200,NA,NA,NA,8100,NA,NA,NA,5500,NA,8650,NA,NA,NA,6000,NA,9000,NA,NA,NA,9900,NA,NA,NA,7750,NA,10800,NA,NA,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
PALGHAR (IN PGR),NA,7200,NA,NA,NA,8100,NA,NA,NA,5500,NA,8650,NA,NA,NA,6000,NA,9000,NA,NA,NA,9900,NA,NA,NA,7750,NA,10800,NA,NA,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
MULSHI,NA,9900,NA,6000,NA,10800,NA,6500,NA,NA,NA,11700,NA,7000,NA,NA,NA,12600,NA,7500,NA,13500,NA,8000,NA,NA,NA,14400,NA,8500,NA,NA,NA,NA,NA,9000,NA,NA,NA,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
TURBHE,NA,4500,NA,5500,NA,5400,NA,6000,NA,2500,NA,6300,NA,6500,NA,3000,NA,7200,NA,7500,NA,7650,NA,8500,NA,4250,NA,8100,NA,9500,NA,5000,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,11000,NA,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
MAHAPE,NA,4500,NA,5500,NA,5400,NA,6000,NA,2500,NA,6300,NA,6500,NA,3000,NA,7200,NA,7500,NA,7650,NA,8500,NA,4250,NA,8100,NA,9500,NA,5000,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,11000,NA,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
BADLAPUR,NA,4500,NA,NA,NA,5400,NA,NA,NA,5000,NA,6300,NA,NA,NA,8000,NA,7200,NA,NA,NA,7650,NA,NA,NA,9000,NA,8100,NA,NA,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
ULHASNAGAR,NA,4500,NA,NA,NA,5400,NA,NA,NA,NA,NA,6300,NA,NA,NA,NA,NA,7200,NA,NA,NA,7650,NA,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
DOMBIVLI,NA,4500,NA,NA,NA,5400,NA,NA,4500,4750,NA,6300,NA,NA,5000,5500,NA,7200,NA,NA,NA,7650,NA,NA,5500,6325,NA,8100,NA,NA,7000,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,11000,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
VIRAR,NA,7200,NA,NA,NA,8100,NA,NA,NA,5000,NA,8650,NA,NA,NA,5750,NA,9000,NA,NA,NA,9900,NA,NA,NA,7000,NA,10800,NA,NA,NA,7750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
MASJID BUNDER,NA,4500,NA,NA,NA,5400,NA,NA,3750,4000,NA,6300,NA,NA,4000,4500,NA,7200,NA,NA,NA,7650,NA,NA,5000,5750,NA,8100,NA,NA,7500,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,9500,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
KALBADEVI,NA,4500,NA,NA,NA,5400,NA,NA,NA,NA,NA,6300,NA,NA,NA,NA,NA,7200,NA,NA,NA,7650,NA,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
SEWRI,NA,4500,NA,NA,NA,5400,NA,NA,NA,NA,NA,6300,NA,NA,NA,NA,NA,7200,NA,NA,NA,7650,NA,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
