,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
LATUR (IN LAT),NA,26100,NA,NA,NA,27000,NA,NA,NA,NA,NA,27900,NA,NA,NA,NA,NA,30600,NA,NA,NA,31500,NA,NA,NA,NA,NA,33300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30600,30600,NA,NA,NA,36000,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40500,NA,NA
NAGPUR (IN NAG),NA,23400,NA,15000,NA,24300,NA,15500,NA,NA,NA,25200,NA,18000,NA,NA,NA,27000,NA,22000,NA,27900,NA,25000,NA,NA,NA,30600,NA,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45900,45900,NA,NA,NA,50400,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,NA,NA,NA,63900,NA,NA,NA,63900,NA,NA
NANDED (IN DID),NA,36000,NA,NA,NA,36900,NA,NA,NA,NA,NA,37800,NA,NA,NA,NA,NA,38700,NA,NA,NA,39600,NA,NA,NA,NA,NA,40500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63900,NA,NA
NASIK (IN ISK),NA,9900,NA,5000,NA,10800,NA,5500,NA,4250,NA,11700,NA,6500,NA,5000,NA,12600,NA,7500,NA,13500,NA,8500,NA,9000,NA,14400,NA,9500,NA,9750,NA,NA,NA,11000,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,16000,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
NAVI MUMBAI (IN NMB),NA,4500,NA,5500,NA,5400,NA,6000,NA,3000,NA,6300,NA,6500,NA,4000,NA,7200,NA,7500,NA,7650,NA,8500,NA,5175,NA,8100,NA,9500,NA,6500,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,11000,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
NHAVA SHEVA (IN NSA),NA,4500,NA,5500,NA,5400,NA,6000,NA,2000,NA,6300,NA,6500,NA,3500,NA,7200,NA,7500,NA,7650,NA,8500,NA,6000,NA,8100,NA,9500,NA,6850,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,11000,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
PALGHAR (IN PGR),NA,7200,NA,NA,NA,8100,NA,NA,NA,5500,NA,8650,NA,NA,NA,6000,NA,9000,NA,NA,NA,9900,NA,NA,NA,7750,NA,10800,NA,NA,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,13250,NA,NA,NA,NA,NA,NA,NA,NA,NA,15300,NA,NA
PANVEL (IN PVL),NA,4500,NA,5500,NA,5400,NA,6000,NA,3000,NA,6300,NA,6500,NA,3500,NA,7200,NA,7500,NA,7650,NA,8500,NA,4000,NA,8100,NA,9500,NA,4500,NA,NA,NA,10500,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,11000,NA,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
PIMPRI (IN PMP),NA,9000,NA,5000,NA,9900,NA,5500,NA,3500,NA,10800,NA,6500,NA,4250,NA,11700,NA,7500,NA,12600,NA,8500,NA,6250,NA,13500,NA,9500,NA,6750,NA,NA,NA,10500,NA,NA,NA,11500,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,22000,NA,NA,NA,11500,NA,8500,NA,18900,NA,NA,NA,20700,NA,25000,NA,18000,NA,20000
PUNE (IN PNQ),NA,9000,NA,6000,NA,9900,NA,6500,NA,4250,NA,10800,NA,7000,3925,5000,NA,11700,NA,7500,NA,12600,NA,8000,6050,6500,NA,13500,NA,8500,6300,7000,NA,NA,NA,9000,NA,NA,NA,13000,15300,15300,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,13000,8750,9250,NA,18900,NA,NA,NA,20700,NA,NA,NA,18000,NA,NA
