,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
47) TALEGON ,10800,5000,11700,5500,3500,12600,6500,4000,13500,7500,14400,8500,6250,15300,9500,6300,17100,10500,18000,11500,18900,NA,NA,NA,NA,22000,NA,11500,7500,15300,NA,NA,25000,20700,20000
48) ALANDI,NA,5000,NA,5500,3500,NA,6500,4000,NA,7500,NA,8500,6250,NA,9500,6300,NA,10500,NA,11500,NA,NA,NA,NA,NA,22000,NA,11500,7500,NA,NA,NA,25000,NA,20000
49) THANE ,7200,6000,7560,6500,2750,8100,7500,3500,8650,8500,9000,9500,5500,9900,10500,6000,10800,11500,11700,14000,NA,NA,NA,NA,NA,NA,NA,14000,9000,14400,NA,NA,NA,14400,NA
50) ULWA ,NA,5500,NA,6000,NA,NA,6500,NA,NA,7500,NA,8500,NA,NA,9500,NA,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA
51) UMBERGAON ,10800,NA,11700,NA,8000,12600,NA,10250,13500,NA,14400,NA,12500,15300,NA,16000,17100,NA,18000,NA,18900,NA,NA,NA,NA,NA,NA,NA,18000,15300,NA,NA,NA,20700,NA
52) URAN ,5400,5500,6300,6000,NA,7200,6500,NA,7650,7500,8100,8500,NA,8650,9500,NA,9000,10500,9900,11000,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,13500,NA
53) VARSOVA ,7200,NA,7560,NA,3500,8100,NA,4000,8650,NA,9000,NA,7000,9900,NA,9500,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,11500,14400,NA,NA,NA,14400,NA
54) WADA ,7200,NA,7560,NA,5500,8100,NA,6750,8650,NA,9000,NA,7750,9900,NA,8500,10800,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,9000,14400,NA,NA,NA,14400,NA
55) WALUJ ,15300,10000,16200,10500,6000,17100,11000,8000,18000,12000,18900,13000,10450,20700,15000,13050,24300,17000,25200,22000,23400,NA,27900,NA,NA,NA,NA,22000,15500,24000,NA,27900,NA,33300,NA
56) VERNA,18000,NA,21600,NA,7500,24300,19500,9000,27000,20500,30600,21500,13250,31500,22500,17000,36000,25000,36000,35000,NA,NA,36000,NA,NA,NA,NA,35000,24000,36900,NA,NA,NA,45900,NA
57) PANJIM ,18000,NA,21600,NA,7500,24300,19500,9000,NA,20500,30600,21500,13250,31500,22500,17000,36000,25000,36000,35000,30600,NA,36000,NA,NA,NA,NA,35000,24000,36900,NA,NA,NA,45900,NA
58) MADGAON ,18000,NA,21600,NA,7500,24300,19500,9000,27000,20500,30600,21500,13250,31500,22500,17000,36000,25000,36000,35000,30600,NA,36000,NA,NA,NA,NA,35000,24000,36900,NA,NA,NA,45900,NA
59) BHOPAL ,18000,NA,18000,NA,NA,18000,NA,NA,18000,NA,20800,NA,NA,20800,NA,NA,30600,NA,31500,NA,36000,NA,47250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48700,NA
60) DEWAS ,13500,NA,14400,NA,NA,15300,NA,NA,15300,NA,16200,NA,NA,19800,NA,NA,23400,NA,24300,NA,33300,NA,44100,NA,NA,NA,NA,NA,NA,27900,NA,33300,NA,40500,NA
61) DHANNAD ,13500,NA,14400,NA,NA,15300,NA,NA,15300,NA,16200,NA,NA,19800,NA,NA,23400,NA,24300,NA,33300,NA,44100,NA,NA,NA,NA,NA,NA,27900,NA,33300,NA,40500,NA
62) INDORE ,13500,NA,14400,NA,NA,15300,NA,NA,15300,NA,16200,NA,NA,19800,NA,NA,23400,NA,24300,NA,33300,NA,44100,NA,NA,NA,NA,NA,NA,27900,NA,33300,NA,40500,NA
63) GWALIOR ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64) MANDIDEEP ,18000,NA,18000,NA,NA,18000,NA,NA,18000,NA,20800,NA,NA,20800,NA,NA,30600,NA,31500,NA,36000,NA,47250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48700,NA
65) MANDSAUR ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66) PHITAMPUR ,13500,NA,14400,NA,NA,15300,NA,NA,15300,NA,16200,NA,NA,19800,NA,NA,23400,NA,24300,NA,33300,NA,44100,NA,NA,NA,NA,NA,NA,27900,NA,33300,NA,40500,NA
67) SILVASSA ,8100,NA,9000,NA,8000,9900,9000,10250,10800,10000,11700,11000,12500,12600,13000,16000,13500,15000,14400,18000,15300,NA,18900,NA,NA,NA,NA,18000,18000,23400,NA,27000,NA,20700,NA
68) HOSUR ,24300,NA,24300,NA,NA,27000,NA,21850,28000,NA,29000,NA,27500,30600,NA,33000,NA,NA,NA,NA,33300,NA,40500,NA,NA,NA,NA,NA,41000,36000,NA,40500,NA,72000,NA
69) JIGNI,24300,NA,24300,NA,NA,27000,NA,19250,28000,NA,29000,NA,24500,30600,NA,30000,NA,NA,NA,NA,33300,NA,40500,NA,NA,NA,NA,NA,38000,36000,NA,40500,NA,72000,NA
70) BOMMASANDRA ,24300,NA,24300,NA,NA,27000,NA,19250,28000,NA,29000,NA,24500,30600,NA,30000,NA,NA,NA,NA,33300,NA,40500,NA,NA,NA,NA,NA,36000,36000,NA,40500,NA,72000,NA
71) WHITFIELD,24300,NA,24300,NA,NA,27000,NA,19250,28000,NA,29000,NA,24500,30600,NA,30000,NA,NA,NA,NA,33300,NA,40500,NA,NA,NA,NA,NA,36000,36000,NA,40500,NA,72000,NA
72) HUBLI ,18000,NA,18900,NA,NA,19800,NA,16250,20700,NA,21600,NA,18750,22500,NA,20750,NA,NA,NA,NA,24300,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,NA
73) DHARWAD ,18000,NA,18900,NA,NA,19800,NA,16250,20700,NA,21600,NA,18750,22500,NA,20750,NA,NA,NA,NA,24300,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,NA
74) BELGAUM ,18000,NA,18900,NA,NA,19800,NA,13250,20700,NA,21600,NA,13750,22500,NA,16750,NA,NA,NA,NA,24300,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41400,NA
