,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
DAPODI,NA,10800,NA,5000,NA,11700,NA,5500,NA,3500,NA,12600,4500,6500,NA,4000,NA,13500,NA,7500,NA,14400,5000,8500,NA,6250,NA,15300,5800,9500,NA,6250,NA,NA,7000,10500,NA,NA,NA,11500,NA,21600,NA,NA,NA,27900,NA,NA,NA,NA,NA,22000,NA,NA,8500,11500,NA,8000,NA,29700,NA,NA,NA,30600,NA,25000,NA,18000,16000,20000
TALOJA,NA,5400,NA,6000,NA,6300,NA,6500,2500,2500,NA,7200,NA,7500,3000,3000,NA,7650,NA,8500,NA,8100,NA,9500,4500,4500,NA,8650,NA,10500,6000,6000,NA,9000,NA,11500,NA,9900,NA,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14000,7500,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,NA
KALAMBOLI (IN  KLE),NA,5400,NA,5500,NA,6300,NA,6000,2500,2500,NA,7200,NA,6500,3000,3000,NA,7650,NA,7500,NA,8100,NA,8500,4500,4500,NA,8650,NA,9500,6000,6000,NA,9000,NA,10500,NA,9900,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,6500,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,NA
AMBERNATH,NA,7200,NA,NA,NA,7560,NA,NA,4500,4500,NA,8100,NA,NA,5000,5000,NA,8650,NA,NA,NA,9000,NA,NA,5500,6750,NA,9900,NA,NA,7000,7250,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,11000,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
MAHAD,NA,NA,NA,5500,NA,NA,NA,6500,NA,6000,NA,NA,6500,8500,6500,8000,NA,NA,NA,9500,NA,NA,7000,10500,9000,9750,NA,NA,7500,11500,13500,10750,NA,NA,9500,12500,NA,NA,NA,18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,16000,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VASAI,NA,7200,NA,NA,NA,7560,NA,NA,5000,5000,NA,8100,NA,NA,5750,5750,NA,8650,NA,NA,NA,9000,NA,NA,6500,6500,NA,9900,NA,NA,7500,7500,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,10500,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
OZAR,NA,NA,NA,6000,NA,NA,NA,6500,NA,5000,NA,NA,NA,7500,5000,6500,NA,NA,NA,8500,NA,NA,NA,9500,8500,8500,NA,NA,NA,10500,9250,9250,NA,NA,NA,12000,NA,NA,NA,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17000,13750,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SATPUR,NA,10800,NA,5000,NA,11700,NA,5500,NA,4250,NA,12600,NA,6500,4750,6000,NA,13500,NA,7500,NA,14400,NA,8500,8200,8200,NA,15300,NA,9500,8900,8900,NA,17100,NA,11000,NA,18000,NA,16000,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000,13500,13750,NA,15300,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
AMBAD,NA,NA,NA,5000,NA,NA,NA,5500,NA,4250,NA,NA,NA,6500,4750,6000,NA,NA,NA,7500,NA,NA,NA,8500,8200,8200,NA,NA,NA,9500,8900,8900,NA,NA,NA,11000,NA,NA,NA,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000,13500,13750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GONDE,NA,10800,NA,5000,NA,11700,NA,5500,NA,5000,NA,12600,NA,6500,4750,5750,NA,13500,NA,7500,NA,14400,NA,8500,8200,8200,NA,15300,NA,9500,8900,8900,NA,17100,NA,11000,NA,18000,NA,16000,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000,13500,14500,NA,15300,NA,NA,NA,NA,NA,NA,NA,20700,NA,NA
RANJANGAON,NA,12600,NA,9000,NA,13500,NA,9500,NA,4500,10000,14400,5500,10000,4950,6000,NA,15300,NA,10500,NA,16200,6200,11000,6900,7750,10500,17100,6800,12000,7750,8500,11500,NA,9500,13000,NA,NA,NA,16000,NA,23400,NA,NA,NA,30600,NA,NA,NA,NA,NA,NA,14000,NA,14000,16000,9000,9000,NA,31500,NA,NA,NA,32400,NA,NA,21000,20700,18000,NA
SANASWADI,NA,12600,NA,6000,NA,13500,NA,6500,NA,4500,10000,14400,4800,7000,4950,6000,NA,15300,NA,7500,NA,16200,5500,8000,6900,7750,10500,17100,5800,8500,7750,8500,11500,NA,8000,9000,NA,NA,NA,13000,NA,23400,NA,NA,NA,30600,NA,NA,NA,NA,NA,NA,14000,NA,10000,13000,9000,9000,NA,31500,NA,NA,NA,32400,NA,NA,21000,20700,18000,NA
TARAPUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,NA,NA,6200,NA,NA,6000,NA,NA,NA,NA,NA,NA,6800,NA,NA,8000,NA,NA,7000,NA,NA,8750,NA,NA,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KARAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,6750,NA,NA,9500,12500,6000,8500,NA,NA,NA,13500,NA,NA,11000,14500,8100,11000,NA,NA,NA,15500,9250,12000,NA,NA,NA,17000,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,13500,19250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHIRWAL,NA,14400,NA,NA,NA,15300,NA,NA,NA,6500,NA,16300,NA,8000,5350,8000,NA,17100,NA,9000,NA,18000,NA,10000,7500,8500,NA,19800,NA,11000,8900,9500,NA,NA,NA,13000,NA,NA,NA,20000,NA,25200,NA,NA,NA,32400,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,13000,16250,NA,33300,NA,NA,NA,34200,NA,NA,NA,22500,NA,NA
BOISAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,NA,NA,NA,NA,NA,8750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PALGHAR (IN PGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,NA,NA,NA,NA,NA,8750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MULSHI,NA,12600,NA,6000,NA,13500,NA,6500,NA,NA,NA,14400,NA,7000,NA,NA,NA,15300,NA,7500,NA,16200,NA,8000,NA,NA,NA,17100,NA,8500,NA,NA,NA,NA,NA,9000,NA,NA,NA,13000,NA,23400,NA,NA,NA,30600,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,NA,NA,NA,31500,NA,NA,NA,32400,NA,NA,NA,20700,NA,NA
TURBHE,NA,5400,NA,5500,NA,6300,NA,6000,NA,2500,NA,7200,NA,6500,NA,3000,NA,7650,NA,7500,NA,8100,NA,8500,NA,4250,NA,8650,NA,9500,NA,5500,NA,9000,NA,10500,NA,9900,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,6750,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,NA
MAHAPE,NA,5400,NA,5500,NA,6300,NA,6000,NA,2500,NA,7200,NA,6500,NA,3000,NA,7650,NA,7500,NA,8100,NA,8500,NA,4250,NA,8650,NA,9500,NA,5500,NA,9000,NA,10500,NA,9900,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,6750,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,NA
BADLAPUR,NA,7200,NA,NA,NA,7560,NA,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,8650,NA,NA,NA,9000,NA,NA,NA,NA,NA,9900,NA,NA,NA,NA,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
ULHASNAGAR,NA,7200,NA,NA,NA,7560,NA,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,8650,NA,NA,NA,9000,NA,NA,NA,NA,NA,9900,NA,NA,NA,NA,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
DOMBIVLI,NA,7200,NA,NA,NA,7560,NA,NA,4500,4500,NA,8100,NA,NA,5000,5000,NA,8650,NA,NA,NA,9000,NA,NA,5500,6750,NA,9900,NA,NA,7000,7250,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,11000,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
VIRAR,NA,7200,NA,NA,NA,7560,NA,NA,NA,5000,NA,8100,NA,NA,NA,6000,NA,8650,NA,NA,NA,9000,NA,NA,NA,7250,NA,9900,NA,NA,NA,8000,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8500,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
MASJID BUNDER,NA,7200,NA,NA,NA,7560,NA,NA,3750,3750,NA,8100,NA,NA,4000,4000,NA,8650,NA,NA,NA,9000,NA,NA,5000,5000,NA,9900,NA,NA,7500,7500,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
KALBADEVI,NA,7200,NA,NA,NA,7560,NA,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,8650,NA,NA,NA,9000,NA,NA,NA,NA,NA,9900,NA,NA,NA,NA,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
SEWRI,NA,7200,NA,NA,NA,7560,NA,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,8650,NA,NA,NA,9000,NA,NA,NA,NA,NA,9900,NA,NA,NA,NA,NA,10800,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA,NA,NA,NA,NA,NA,14400,NA,NA
