,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,acpl_old,acpl_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new,blr_old,blr_new,saswad_old,saswad_new
LATUR (IN LAT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAGPUR (IN NAG),NA,13500,NA,15000,NA,14400,NA,15500,NA,NA,NA,15300,NA,18000,NA,NA,NA,16200,NA,22000,NA,18000,NA,25000,NA,NA,NA,20700,NA,30000,NA,NA,NA,25200,NA,NA,NA,25200,NA,NA,NA,30600,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25200,NA,NA,NA,30600,NA,NA,NA,60300,NA,NA
NANDED (IN DID),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NASIK (IN ISK),NA,10800,NA,5000,NA,11700,3500,5500,NA,5000,7500,12600,5005,6500,NA,5750,NA,13500,NA,7500,NA,14400,6325,8500,NA,8200,10000,15300,6600,9500,NA,8900,11500,17100,8250,11000,NA,18000,NA,16000,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,12000,16000,NA,14500,NA,15300,NA,NA,NA,NA,NA,NA,23000,20700,21500,NA
NAVI MUMBAI (IN NMB),NA,5400,NA,5500,NA,6300,NA,6000,NA,3000,7000,7200,NA,6500,NA,4000,NA,7650,NA,7500,NA,8100,NA,8500,NA,5175,8000,8650,NA,9500,NA,6500,10000,9000,NA,10500,NA,9900,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,11000,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,18000,13500,NA,NA
NHAVA SHEVA (IN NSA),NA,5400,NA,5500,NA,6300,NA,6000,NA,2000,NA,7200,NA,6500,NA,3500,NA,7650,NA,7500,NA,8100,NA,8500,NA,6000,NA,8650,NA,9500,NA,6850,NA,9000,NA,10500,NA,9900,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,NA
PALGHAR (IN PGR),NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,NA,NA,NA,NA,NA,8750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANVEL (IN PVL),NA,5400,NA,5500,NA,6300,NA,6000,NA,3000,NA,7200,NA,6500,NA,3500,NA,7650,NA,7500,NA,8100,NA,8500,NA,4000,NA,8650,NA,9500,NA,4500,NA,9000,NA,10500,NA,9900,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,NA,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,NA
PIMPRI (IN PMP),NA,10800,NA,5000,NA,11700,NA,5500,NA,3500,NA,12600,NA,6500,NA,4000,NA,13500,NA,7500,NA,14400,NA,8500,NA,6250,NA,15300,NA,9500,NA,6250,NA,17100,NA,10500,NA,18000,NA,11500,NA,18900,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000,NA,NA,NA,11500,NA,8000,NA,15300,NA,NA,NA,NA,NA,25000,NA,20700,NA,20000
PUNE (IN PNQ),NA,10800,NA,6000,NA,11700,NA,6500,NA,4250,7500,12600,4000,7000,3925,5000,NA,13500,NA,7500,NA,14400,5000,8000,6050,6250,10000,15300,6000,8500,6300,7250,10500,17100,7500,9000,NA,18000,NA,13000,NA,18900,NA,NA,NA,                 ,NA,NA,NA,NA,NA,NA,13500,NA,9500,13000,8750,8750,NA,15300,NA,NA,NA,NA,NA,NA,19000,20700,17000,NA
