,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
49) THANE ,8100,6000,9000,6500,3000,9900,7500,4000,10800,8500,11700,9500,5175,12600,10500,6500,NA,11500,NA,14000,NA,NA,NA,NA,NA,NA,NA,14000,9500,NA,NA,NA,NA,15300,NA
50) ULWA ,4500,5500,5400,6000,NA,6300,6500,NA,7200,7500,7650,8500,NA,8100,9500,NA,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,14400,NA
51) UMBERGAON ,8100,NA,9000,NA,8250,9900,NA,10250,10800,NA,11700,NA,13000,12600,NA,16500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18500,NA,NA,NA,NA,14400,NA
52) URAN ,4500,5500,5400,6000,NA,6300,6500,NA,7200,7500,7650,8500,NA,8100,9500,NA,NA,10500,NA,11000,NA,NA,NA,NA,NA,NA,NA,11000,NA,NA,NA,NA,NA,14400,NA
53) VARSOVA ,5400,NA,6300,NA,3500,7650,NA,4000,8100,NA,9000,NA,7250,9900,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000,NA,NA,NA,NA,14400,NA
54) WADA ,8100,NA,9000,NA,5500,9900,NA,6750,10800,NA,11700,NA,7750,12600,NA,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9000,NA,NA,NA,NA,14400,NA
55) WALUJ ,14400,10000,15300,10500,6500,16200,11000,7500,17100,12000,18000,13000,10750,18900,15000,13750,NA,17000,NA,22000,NA,NA,NA,NA,NA,NA,NA,22000,20750,NA,NA,NA,NA,24300,NA
56) VERNA,19800,NA,20700,NA,9750,21600,19500,12000,23400,20500,25200,21500,17250,27900,22500,20750,NA,25000,NA,35000,36000,NA,45000,NA,NA,NA,NA,35000,27750,45000,NA,50400,NA,40500,NA
57) PANJIM ,19800,NA,20700,NA,9750,21600,19500,12000,23400,20500,25200,21500,17250,27900,22500,20750,NA,25000,NA,35000,36000,NA,45000,NA,NA,NA,NA,35000,27750,45000,NA,50400,NA,40500,NA
58) MADGAON ,19800,NA,20700,NA,9750,21600,19500,12000,23400,20500,25200,21500,17250,27900,22500,20750,NA,25000,NA,35000,36000,NA,45000,NA,NA,NA,NA,35000,27750,45000,NA,50400,NA,40500,NA
59) BHOPAL ,45900,NA,48600,NA,NA,50400,NA,NA,51300,NA,53100,NA,NA,54000,NA,NA,NA,NA,NA,NA,40500,NA,50400,NA,NA,NA,NA,NA,NA,50400,NA,54000,NA,66600,NA
60) DEWAS ,19800,NA,20700,NA,NA,21600,NA,NA,23400,NA,25200,NA,NA,27900,NA,NA,NA,NA,NA,NA,36000,NA,44100,NA,NA,NA,NA,NA,NA,45900,NA,50400,NA,60300,NA
61) DHANNAD ,19800,NA,20700,NA,NA,21600,NA,NA,23400,NA,25200,NA,NA,27900,NA,NA,NA,NA,NA,NA,36000,NA,44100,NA,NA,NA,NA,NA,NA,45900,NA,50400,NA,54000,NA
62) INDORE ,19800,NA,20700,NA,NA,21600,NA,NA,23400,NA,25200,NA,NA,27900,NA,NA,NA,NA,NA,NA,36000,NA,44100,NA,NA,NA,NA,NA,NA,45900,NA,50400,NA,54000,NA
63) GWALIOR ,50400,NA,52200,NA,NA,54999,NA,NA,56700,NA,58599,NA,NA,60300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99999,NA
64) MANDIDEEP ,45900,NA,48600,NA,NA,50400,NA,NA,51300,NA,53100,NA,NA,54000,NA,NA,NA,NA,NA,NA,40500,NA,50400,NA,NA,NA,NA,NA,NA,45900,NA,50400,NA,66600,NA
65) MANDSAUR ,45900,NA,48600,NA,NA,50400,NA,NA,51300,NA,53100,NA,NA,54000,NA,NA,NA,NA,NA,NA,40500,NA,50400,NA,NA,NA,NA,NA,NA,45900,NA,50400,NA,66000,NA
66) PHITAMPUR ,19800,NA,20700,NA,NA,21600,NA,NA,23400,NA,25200,NA,NA,27900,NA,NA,NA,NA,NA,NA,36000,NA,44100,NA,NA,NA,NA,NA,NA,45900,NA,50400,NA,66000,NA
67) SILVASSA ,10800,NA,11700,NA,8000,12600,9000,10250,13500,10000,14400,11000,13000,15300,13000,16500,NA,15000,NA,18000,18900,NA,24300,NA,NA,NA,NA,18000,18500,28000,NA,33300,NA,20700,NA
68) HOSUR ,41400,NA,42300,NA,20750,43200,NA,24000,44100,NA,45000,NA,29000,45900,NA,34500,NA,NA,NA,NA,54000,NA,66600,NA,NA,NA,NA,NA,51750,60000,NA,66600,NA,90000,NA
69) JIGNI,41400,NA,42300,NA,21850,43200,NA,24000,44100,NA,45000,NA,28750,45900,NA,33500,NA,NA,NA,NA,54000,NA,66600,NA,NA,NA,NA,NA,50500,60000,NA,66600,NA,90000,NA
